Mitgliedsnummer;DATUM;FAELLIG;BRUTTO;ZAHLUNG;MEMO;BEZAHLT
13;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
57;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
125;15.5.1997 00:00:00;31.5.1997 00:00:00;36,34;0,00;BEITRAG 1997;0
582;15.5.1997 00:00:00;31.5.1997 00:00:00;43,60;0,00;BEITRAG 1997;0
709;15.5.1997 00:00:00;31.5.1997 00:00:00;36,34;0,00;BEITRAG 1997;0
77;15.5.1997 00:00:00;31.5.1997 00:00:00;36,34;0,00;BEITRAG 1997;0
575;15.5.1997 00:00:00;31.5.1997 00:00:00;36,34;0,00;BEITRAG 1997;0
506;15.5.1997 00:00:00;31.5.1997 00:00:00;105,38;0,00;BEITRAG 1997;0
583;15.5.1997 00:00:00;31.5.1997 00:00:00;105,38;0,00;BEITRAG 1997;0
133;15.5.1997 00:00:00;31.5.1997 00:00:00;72,67;0,00;BEITRAG 1997;0
246;15.5.1997 00:00:00;31.5.1997 00:00:00;72,67;0,00;BEITRAG 1997;0
195;15.5.1997 00:00:00;31.5.1997 00:00:00;36,34;0,00;BEITRAG 1997;0
554;15.5.1997 00:00:00;31.5.1997 00:00:00;36,34;0,00;BEITRAG 1997;0
69;15.5.1997 00:00:00;31.5.1997 00:00:00;72,67;0,00;BEITRAG 1997;0
315;15.5.1997 00:00:00;31.5.1997 00:00:00;76,31;0,00;BEITRAG 1997;0
523;15.5.1997 00:00:00;31.5.1997 00:00:00;105,38;0,00;BEITRAG 1997;0
69;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
77;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
88;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
125;1.4.1998 00:00:00;15.4.1998 00:00:00;14,53;0,00;BEITRAG 1998;0
133;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
179;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
195;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
212;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
256;1.4.1998 00:00:00;15.4.1998 00:00:00;14,53;0,00;BEITRAG 1998;0
261;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
315;1.4.1998 00:00:00;15.4.1998 00:00:00;21,80;0,00;BEITRAG 1998;0
373;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
378;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
382;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
383;1.4.1998 00:00:00;15.4.1998 00:00:00;14,53;0,00;BEITRAG 1998;0
1;;31.5.2003 00:00:00;45,00;0,00;BEITRAG 2003;0
474;1.4.1998 00:00:00;15.4.1998 00:00:00;14,53;0,00;BEITRAG 1998;0
506;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
523;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
554;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
58;19.4.2010 00:00:00;31.5.2010 00:00:00;26,00;26,00;BEITRAG 2010;1
59;19.4.2010 00:00:00;31.5.2010 00:00:00;45,00;45,00;BEITRAG 2010;1
575;1.4.1998 00:00:00;15.4.1998 00:00:00;14,53;0,00;BEITRAG 1998;0
583;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
630;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
709;1.4.1998 00:00:00;15.4.1998 00:00:00;36,34;0,00;BEITRAG 1998;0
757;1.4.1998 00:00:00;15.4.1998 00:00:00;21,80;0,00;BEITRAG 1998;0
51;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
69;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
77;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
125;30.3.1999 00:00:00;31.5.1999 00:00:00;14,53;0,00;BEITRAG 1999;0
133;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
179;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
212;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
246;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
256;30.3.1999 00:00:00;31.5.1999 00:00:00;14,53;0,00;BEITRAG 1999;0
261;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
315;30.3.1999 00:00:00;31.5.1999 00:00:00;21,80;0,00;BEITRAG 1999;0
373;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
384;30.3.1999 00:00:00;31.5.1999 00:00:00;14,53;0,00;BEITRAG 1999;0
474;30.3.1999 00:00:00;31.5.1999 00:00:00;14,53;0,00;BEITRAG 1999;0
506;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
523;30.3.1999 00:00:00;31.5.1999 00:00:00;36,34;0,00;BEITRAG 1999;0
